impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_202.trace,4096,202,10.1032,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_202.trace,4096,202,0.3142,12288,4096,4096,4096,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_303.trace,4096,303,194.994,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_303.trace,4096,303,3.4451,12288,4096,4096,4096,0
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_303.trace,4096,303,9.9545,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_303.trace,4096,303,0.3008,12288,4096,4096,4096,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_404.trace,4096,404,195.357,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_404.trace,4096,404,3.6537,12288,4096,4096,4096,0
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_404.trace,4096,404,12.9031,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_404.trace,4096,404,0.3197,12288,4096,4096,4096,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_505.trace,4096,505,193.893,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_505.trace,4096,505,3.5932,12288,4096,4096,4096,0
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_505.trace,4096,505,9.9807,12288,4096,4096,4096,0
linear_base,batch_then_drain,batch_then_drain_N_4096_S_505.trace,4096,505,0.3514,12288,4096,4096,4096,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_101.trace,524288,101,652.619,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_101.trace,524288,101,2566.55,1572864,524288,524288,524288,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_101.trace,524288,101,42.3525,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_202.trace,524288,202,673.467,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_202.trace,524288,202,2536.91,1572864,524288,524288,524288,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_202.trace,524288,202,41.8264,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_303.trace,524288,303,685.191,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_303.trace,524288,303,2510.91,1572864,524288,524288,524288,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_303.trace,524288,303,43.5866,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_404.trace,524288,404,687.807,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_404.trace,524288,404,2558.34,1572864,524288,524288,524288,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_404.trace,524288,404,41.1294,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_505.trace,524288,505,670.394,1572864,524288,524288,524288,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_505.trace,524288,505,2509.92,1572864,524288,524288,524288,0
